# Reference: Correcting for Purifying Selection: An Improved Human Mitochondrial Molecular Clock
Haplogroup	Time estimate (years)	SD (years)
D4h3a3	12953.8	5631.5
D4h3a3a	9847.2	5019.8
D4h3a4	1509.2	2102.1
D4h3a5	11436.6	2945.8
D4h4	18152.8	4337.9
D4h4a	7012.9	4387.1
D4i	12303.6	12662
D4i1	5732.3	5012.8
D4i2	5577.5	13772.9
D4j	13395.7	2439.6
D4j1	12292.8	2587.2
D4j1a	5330	3044.2
D4j1a1	2002.3	2418.5
D4j1b	9456	3002
D4j1b2	3950.4	3437.9
D4j2	3547.6	2995
D4j2a	1956.9	2418.5
D4j3	10233.9	3255.1
D4j3a	8439.9	3360.6
D4j11	5572.3	3536.4
D4j4	2958	3873.8
D4j4a	1077.8	2045.9
D4j5	4651.5	3564.5
D4j6	6027	4225.4
D4j7	5742.7	3712.1
D4j7a	1193	2657.6
D4j8	4032.2	4998.7
D4j9	2083	2875.5
D4j10	2083	3459
D4k	5381.6	5779.1
D4o	13844.1	4591
D4o1	7132.7	3480.1
D4o1a	4836.3	3044.2
D4o2	2963.1	2854.4
D4p	3710.7	3578.6
D4l	16962.5	4844.1
D4l1	13563.1	4984.7
D4l1a	7304.6	5139.3
D4l2	13952.3	5097.2
D4m	19438.8	4126.9
D4m1	3782	2952.8
D4m2	8949.8	5188.6
D4n	8434.6	5413.5
D4n1	2805.9	3058.3
D4n1a	1042.7	1469.4
D4q	9281.8	5870.5
D4q1	5453.7	3761.4
D4q1a	1157.9	1771.7
D4s	13568.5	5821.3
D5	30731.6	4717.5
D5ab	28716.4	4647.2
D5a	19761.6	4942.5
D5a1	7163.9	3093.4
D5a1a	5722	2741.9
D5a1a1	4379.9	2643.5
D5a1a2	2745.1	2657.6
D5a2	13395.7	7157.1
D5a2a	11543.4	3887.9
D5a2a1	9181.6	3227
D5a2a1a	3955.6	2144.3
D5a2a1a1	2618.5	2031.8
D5a2a1a2	1298.3	3002
D5a2a1b	4836.3	3894.9
D5a2a2	1941.8	2741.9
D5a3	16079.8	6144.7
D5a3a	1338.5	8043
D5b	18916.8	4569.9
D5b1	15233.7	4176.2
D5b1a	8676.3	5891.6
D5b1a1	3430.5	4373
D5b1b	8797.2	4141
D5b1b1	2315.1	2214.6
D5b1c	13773.8	4239.4
D5c	17061.5	6060.3
D5c1	3257.6	5139.3
D6	23354.4	6440
D6a	20486.7	6826.7
D6a1	3018.9	4035.5
D6c	10584.3	5315.1
N	58859.9	2352.3
N15	56547	4704.7
N1	51642.7	5640.3
N1acdeI	45169	6593.5
N1adeI	42531.4	6576
N1aeI	38555.4	6383.6
N1a	18117.5	5246.8
N1a1	16501.9	4967
N1a1a	13893.9	4634.7
N1a1a1	5736.8	3244.3
N1a1a1a	3662.9	2518.5
N1a1a2	1385.5	3567.8
N1eI	28880.7	6095.1
I	20856.6	3594.1
I1	15230.8	3401.7
I1a	11726.2	3305.5
I1a1	5294.2	2133.7
I1a1a	3327.3	2719.6
I1a1b	2608	2973.2
I1a1c	1522.9	3384.2
I1a1d	1892	1862.6
I1b	11135.2	4818.3
I1c	8215.6	3786.5
I23	11307.6	4153.7
I2	6386.9	2448.5
I2a	3770.7	2142.5
I2a1	2986.1	1967.6
I2b	1266.9	4538.5
I2c	2268.4	2693.4
I2d	3827.8	3795.2
I2e	2935.6	3454.2
I3	8679.2	3410.4
I3a	6090.5	3261.8
I3a1	5070.2	3016.9
I3b	5595.6	3629.1
I4	14912.6	5955.1
I4a	2124	6112.6
I5	18805.9	4005.1
I5a	15115.7	4127.5
I5a1	11062.3	4660.9
N1c	8731.5	5963.9
N1b	19517.3	4800.8
N1b1	14183.4	3148.1
N1b1a	8986.8	4739.6
N1b1b	11599.9	3235.5
N1b1b1	9728.5	3664
N1b1b2	4228.1	2877
N1b1c	11155.1	4180
N1b1d	8437.5	3629.1
N1b1e	5903.9	5509.2
N1b2	1185.8	2037.5
N5	36712.4	8202.5
N5a	6122.7	4249.9
N2	44477.3	7363
N2a	23573.8	7914
W	17589	3375.5
W1	10453.6	2763.3
W1a	3011.4	2912
W1b	2853.7	2282.4
W1b1	1635.4	2002.5
W1c	7798.8	3401.7
W1c1	2942	2632.2
W1e	1604.2	2798.3
W1f	7188.5	3838.9
W1g	1961	2745.8
W3	14419.5	2640.9
W3a	12726.6	2544.7
W3a1	11486.9	2422.3
W3a1a	10539.5	2474.8
W3a1a1	9603.6	2614.7
W3a1b	3194.5	4416.1
W3a1c	9347.4	3183.1
W3a2	5942.5	5106.9
W3b	9078.5	3943.9
W3b1	1516.6	2098.7
W4	11407.2	4311.1
W4a	9590.4	4311.1
W5	11075.5	3725.2
W5a	7052.5	3025.7
W5a1	4189.9	2238.6
W5a1a1	3188.2	2002.5
W5a1a1a	806.1	1093.1
W5b	7486.9	4022.6
W6	10770.9	3594.1
W6a	6444.9	4171.2
W6b	7208	3742.7
W6c	8287.4	3436.7
W7	9373.7	5745.3
N3	6109.8	4459.8
N9	45709.7	7931.5
N9a	17520.4	4389.8
N9a13	15007.4	6060.1
N9a1	5730.4	3113.1
N9a1a	4380.9	2920.7
N9a3	8280.9	5124.4
N9a245	15305.4	4022.6
N9a2	10361.1	3419.2
N9a2ab	7961.5	3550.4
N9a2a	2986.1	3069.4
N9a2b	6206.4	4145
N9a2c	3567.8	3165.6
N9a2d	5140.6	4389.8
N9a4	5653.3	4118.8
N9a5	6851.9	3917.6
N9a6	11972.5	5491.7
N9a10	12245.8	5937.7
N9b	14885.6	4092.5
N9b1	11859.3	3760.2
N9b1a	10645.2	3690.3
N9b1b	2746.5	2947
N9b1c	6987.8	4967
N9b1c1	5762.5	3786.5
N9b2	13369.7	4110
N9b3	7629.8	6007.6
Y	24576.4	7083.2
Y1	14689.5	5264.3
Y1a	7467.5	5526.7
Y1b	9222.8	4967
Y2	7279.3	2894.5
Y2a	4929.5	2789.6
Y2a1	2488.4	2658.4
Y2b	1741.8	3454.2
N10	50443.7	6514.8
N10a	21756.4	6611
N11	56272.5	3559.1
N11a	16706.6	6532.3
N11a1	8072.3	4748.4
N11b	6748.4	4591
N21	22351.3	9024.5
N22	25157.3	8823.4
A	24208.8	4905.8
A3	6774.3	4573.5
A4	20807.9	3253
A4a	12987.6	5404.2
A4a1	7240.4	3524.1
A4a1a	4891.2	3436.7
A4b	12907.3	5150.6
A4c	12032.4	4669.7
A4d	7733.8	4302.4
A2	15644.6	1757.7
A2a	4629.4	4092.5
A2a2	0	7634.1
A2b	5936.1	6252.5
A2b1	2809.5	3218.1
A2d	10850.3	3891.4
A2d1	3669.2	3602.8
A2d2	7383.1	4451.1
A2f	949.1	1337.9
A2g	4164.5	3069.4
A2i	14089.1	2378.6
A2i1	2004.9	1923.8
A2j	4923.1	3069.4
A2j1	3137.7	2684.6
A2k	12432.6	3314.2
A2k1	6981.3	5937.7
A2n	11188.2	3016.9
A2r	9439.3	4040.1
A2s	7610.3	4844.6
A2t	9603.6	3646.5
A2v	8613.9	4862.1
A2w	8359.2	3970.1
A2x	13631.6	2457.3
A2y	5025.4	3427.9
A2q	13021.1	5002
A2u	7792.3	4958.3
A2z	1117.3	1547.8
A6	11088.8	4774.6
A7	0	15749.2
A11	17349.2	4538.5
A11a	6039	4678.4
A11b	10262.1	5605.4
A5	16938.8	4757.1
A5a	8026.7	2396.1
A5a1	7078.4	2186.2
A5a1a	6077.6	2002.5
A5a1a1	3599.5	1626.5
A5a1a1a	2419.2	1679
A5a1a1b	2419.2	1635.3
A5a1a2	4623.1	2404.8
A5a1b	4801.8	2912
A5a2	1804.4	2457.3
A5b	8163.5	4215
A5c	3238.8	3191.8
A8	18303.1	6925.8
A10	7779.3	4494.8
O	52053.6	6392.4
O1	16706.6	7966.4
S	53483.4	5526.7
S2	38659.8	9024.5
S3	2168	2142.5
X	31718.5	11709.2
X1	19724.9	5211.8
X1a	11161.7	4538.5
X1c	14385.7	5343
X3	8091.8	6042.6
X3a	1030.1	5159.4
X2	19233.8	2640.9
X2aj	17075.5	3095.6
X2a	12726.6	3497.9
X2a1	7883.4	2605.9
X2a1a	7071.9	2667.1
X2a1a1	3688.3	2098.7
X2a1b	4336.3	2378.6
X2a1b1	2645.7	2020
X2a1b1a	998.9	1320.5
X2a1c	3618.5	2789.6
X2a2	4495.6	3349.2
X2bd	16583.7	3497.9
X2b	9675.9	2466
X2b1	4463.7	2763.3
X2b4	5589.2	2597.2
X2b4a	4521	2509.7
X2b5	1466.7	2063.8
X2b6	3365.3	2273.6
X2b7	6554.7	3917.6
X2d	10870.2	3497.9
X2d1	5319.9	3314.2
X2d2	7389.6	4171.2
X2c	9505	4232.4
X2c1	6722.6	2544.7
X2c1a	1691.7	2492.2
X2c1b	3739	2317.3
X2c1c	3017.7	3908.9
X2m	14223.9	5552.9
X2m1	9629.9	4940.8
X2m2	4444.6	3655.3
X2e	13457	5133.1
X2e1	10665.1	6838.4
X2e2	9748.2	5150.6
X2e2a	6051.9	5150.6
X2h	1723	3183.1
X2f	13967.9	6602.3
X2i	12940.8	6331.2
X2k	8385.3	6418.6
X4	9820.6	5622.9
R	56523.5	2081.2
R0	39960	11097
R0ab	22428.3	6156.3
R0a1	20766.1	5754
R0a1a	12639.7	3218.1
R0a1a1	8941	4591
R0a1a1a	1873.3	3148.1
R0a1a2	2683.5	2238.6
R0a1a3	4476.4	2894.5
R0a1a4	6651.5	4031.3
R0a1b	1435.4	2037.5
R0a23	17527.3	4022.6
R0a2	14149.8	2387.3
R0a2a	8718.5	4643.4
R0a2a1	1860.7	2536
R0a2b	2992.4	5115.7
R0a2c	10546.1	6060.1
R0a2d	7935.5	4206.2
R0a2f	12626.3	3323
R0a2f1	3802.4	3384.2
R0a2f1a	1266.9	4853.3
R0a2f1b	2061.3	2789.6
R0a2g	7461	5789
R0a2h	8209.1	5762.8
R0a2i	2664.6	2798.3
R0a2j	9833.8	3970.1
R0a2k	2689.8	2081.2
R0a2l	4916.7	4057.5
R0a2m	4088.2	5631.6
R0a3	13806.4	4862.1
R0a4	1835.7	2562.2
HV	21905.8	2832.7
HV0	13527.5	3229
HV0a	11197.4	2084.2
HV0a1	5105.4	3140.9
HV0a1a	895.3	1254.9
V	9739.5	1357.6
V1	8474.4	1937.4
V1a	6941.4	2531.8
V1a1	5508.6	2164.9
V1a1a	2681.4	3764.7
V1a1b	4451.8	2128.2
V1b	6561.7	2707.9
V2	8003.8	2076.8
V2a	5664.8	2774
V2a1	2528.3	2568.5
V2a1a	968.4	1328.3
V2b	3529.5	2818
V2b1	1214.1	3493.2
V2c	6237	2553.8
V3	6838.3	2370.4
V3a	4965.9	2590.5
V3a1	3582.6	2319
V3b	2369.9	2164.9
V3c	4019.3	3096.9
V4	6053.2	3434.5
V5	2903.6	4139
V6	4992.7	4021.6
V7	8167.8	2172.2
V7a	6026.2	2414.4
V7a1	1612.4	2150.2
V7b	1917	1820
V8	2903.6	3449.1
V9	7829	2722.6
V9a	4451.8	2590.5
V9a1	2275	2069.5
V10	7175.1	3441.8
V10a	1350.2	2627.2
V10b	4853.3	4234.4
V11	4024.6	2935.4
V12	3609.2	3412.4
V13	1559.9	2164.9
V14	4992.7	4006.9
V15	6475.1	3273
V15a	3864.7	2994.1
V16	1922.3	2619.9
V17	5643.3	2862.1
V18	6816.6	3280.4
V19	2903.6	3933.5
V20	5030.3	3177.6
V21	1167	7470.7
HV0b	5336.5	3140.9
HV0c	3333	3170.3
HV0d	5336.5	3397.8
HV0e	3030.7	3229
HV0f	3588	2685.9
HV1	16829.9	2979.5
HV1a	14981.4	3412.4
HV1a1	8255.3	4036.2
HV1a1a	2649.7	3214.3
HV1a2	12857.9	3816.1
HV1b	14805.5	3691.3
HV1b2	1512.7	4293.1
HV1b3	10613.9	4410.5
HV1c	12723.2	5151.7
HV2	11036.1	3581.2
HV2a	4783.6	2950.1
HV4	15823.7	4469.2
HV4a	15823.7	7588.1
HV4a1	9723	5731.4
HV4a2	9728.5	5577.3
HV4b	12000.6	4616
HV5	2017	14537.8
HV6	5718.7	3008.8
HV6a	1481.2	1467.7
HV7	4740.8	3786.7
HV8	2011.7	2774
HV9	8096.7	4718.7
HV9a	5175.3	2693.3
HV9a1	3593.3	2451.1
HV10	2011.7	8608.2
HV11	9392.1	5944.3
HV11a	4799.7	4505.9
HV14	6366.8	3904.1
HV15	8107.6	3375.8
HV16	7670.7	3896.8
HV12	19361.5	3838.1
HV12a	15447.7	5724.1
HV12b	11091.7	5621.4
HV13	18735.9	4549.9
H	12846	773.4
H1	9888.6	880.6
H1a	6307.3	1820
H1a1	4099.3	1959.4
H1a1a	3274.6	1790.6
H1a1a1	1156.6	1731.9
H1a1b	1324.1	1827.3
H1a2	2908.9	2634.6
H1a3	4960.5	1805.3
H1a3a	3859.4	1621.8
H1a3a1	1276.9	1658.5
H1a3a2	2586.3	4036.2
H1a3b	3157.9	2062.1
H1a3c	2501.9	2781.3
H1a4	1643.9	2186.9
H1a5	1261.2	1680.5
H1a6	1031.1	1423.7
H1b	6237	1805.3
H1b1	4955.2	1761.3
H1b1a	2834.8	1658.5
H1b1b	921.4	3214.3
H1b1c	2069.6	1709.9
H1b1h	1271.7	1629.2
H1b1e	1470.8	2010.8
H1b1f	1093.8	1489.7
H1b2	3662.4	2774
H1b2a	707.4	4065.6
H1b2a1	0	4190.3
H1b3	4339.5	2847.4
H1b4	1638.6	4792.1
H1f	3673.1	3625.3
H1f1	1449.8	1915.4
H1f1a	1449.8	2216.3
H1g	4692.6	2928.1
H1g1	1428.8	1900.7
H1k	2612.8	1996.1
H1k1a	989.3	1306.3
H1y	1775.1	2671.3
H1z	4655.1	2862.1
H1ab	4697.9	3148.3
H1ab1	1428.8	2084.2
H1ad	1775.1	2392.4
H1c	6448	1210.9
H1c1	3518.9	1607.2
H1c1a	1208.9	1585.1
H1c1b	2628.6	1519.1
H1c2	4109.9	2275
H1c2a	2707.9	1996.1
H1c3	4532	1856.7
H1c3a	1449.8	1372.3
H1c3b	1031.1	1482.4
H1c4	4494.5	2597.9
H1c4a	1025.9	1387
H1c4b	3073.1	1893.4
H1c4b1	1109.5	1438.4
H1c5	3248	4916.9
H1c5a	1827.7	2040.1
H1c6	1664.9	2208.9
H1c7	1664.9	2260.3
H1c8	3041.3	2942.8
H1c9	2914.2	1959.4
H1c9a	1670.1	1511.8
H1c11	1659.6	2260.3
H1c12	1664.9	2208.9
H1c13	2951.2	3192.3
H1c15	2586.3	31856.9
H1c16	3859.4	2678.6
H1c17	1659.6	2223.6
H1c19	1664.9	2495.1
H1c20	4457.1	2164.9
H1e	8501.8	2025.5
H1e1	7229.5	1878.7
H1e1a	6193.7	1878.7
H1e1a1	863.9	3214.3
H1e1a3	3742.2	3463.8
H1e1a4	754.4	1372.3
H1e1b	4772.9	2539.2
H1e1b1	3062.5	2164.9
H1e2	3508.2	2157.5
H1e2a	1938.1	1783.3
H1e2b	1208.9	1577.8
H1e3	1041.5	1665.9
H1e4	2739.6	7147.8
H1e4a	1025.9	7375.3
H1e5	6231.6	2487.8
H1h	7616.2	2788.7
H1h1	4318.1	3852.8
H1i	5675.6	2230.9
H1i1	2734.3	2678.6
H1i2	3593.3	2128.2
H1i2a	1224.6	1864
H1an	5831.9	2509.8
H1an1	3870	2407.1
H1an1a	1282.2	1687.9
H1bb	4243.4	3522.5
H1j	7774.4	1864
H1j1	4596.2	2010.8
H1j1a	2924.8	1761.3
H1j1a1	1072.9	2876.7
H1j1a2	1072.9	1416.4
H1j1b	1413.1	1864
H1j1c	1796.1	1673.2
H1j2	3577.3	2531.8
H1j3	1785.6	2407.1
H1j4	3264	4674.7
H1j5	2559.9	2304.3
H1j8	4730	2862.1
H1m	7829	2326.3
H1m1	2951.2	2333.7
H1n	8885.9	1504.4
H1n1	6031.6	2377.7
H1n1a	4590.8	2517.1
H1n1b	1229.8	3639.9
H1n2	4457.1	2774
H1n4	4174	3449.1
H1o	2486	3251
H1q	6231.6	3082.2
H1q1	2887.7	4638
H1r	6112.7	3706
H1s	1932.8	3096.9
H1t	8266.3	1959.4
H1t1	4483.8	2869.4
H1t1a	2946	2355.7
H1t1a1	2027.5	1812.6
H1t2	1827.7	2495.1
H1u	6990.3	2590.5
H1u1	3083.7	2730
H1v	5105.4	2913.4
H1v1	2549.4	2502.5
H1w	1932.8	2634.6
H1x	1161.8	2502.5
H1ae	7785.3	2216.3
H1ae1	1790.9	2414.4
H1ae2	5713.3	3074.9
H1ae3	1172.3	1614.5
H1af	4671.1	2634.6
H1af1	3242.7	2333.7
H1af1a	1146.1	1519.1
H1ag	4291.4	2311.7
H1ag1a	994.5	2069.5
H1ag1b	2808.4	2223.6
H1ah	6887.1	2436.4
H1ah1	1696.4	1952.1
H1ai	1570.4	2135.5
H1aj	8178.7	2957.5
H1ak	4115.3	2546.5
H1ak2	1329.3	1893.4
H1am	1932.8	2641.9
H1ao	5460.2	3537.2
H1ao1	3630.5	2619.9
H1ap	1161.8	1607.2
H1aq	6822	3060.2
H1aq1	1313.6	5320.5
H1ar	5363.4	3977.5
H1ar1	1146.1	6017.7
H1as	6410.1	3691.3
H1as1	4019.3	2803.3
H1as1a	2655	2076.8
H1as2	1659.6	2238.3
H1at	5831.9	3544.5
H1at1	2396.3	2935.4
H1at1a	931.8	1291.6
H1au	7523.5	2964.8
H1au1	5670.2	2774
H1au1a	3508.2	2715.3
H1au1b	3508.2	2810.7
H1av	4644.4	5724.1
H1av1	2750.2	1944.7
H1av1a	1025.9	1343
H1aw	4275.4	2671.3
H1ax	4949.8	2869.4
H1ay	8737.7	1665.9
H1az	3635.8	3977.5
H1ba	6112.7	3757.4
H1bc	6112.7	5063.6
H1be	1570.4	2142.9
H1bf	5191.4	2803.3
H1bf1	1502.2	2010.8
H1bg	3747.6	3030.8
H1bh	3976.6	3140.9
H1bi	3635.8	4359.1
H1bk	1932.8	2744.6
H1bm	1932.8	2656.6
H1bn	6898	3001.5
H1bo	4483.8	2179.6
H1bq	8726.7	1673.2
H1br	6112.7	3808.7
H1bs	7867.2	3537.2
H1bt	1334.5	1820
H1bv	1329.3	1827.3
H1bw	6112.7	3698.7
H1bx	1570.4	3816.1
H2	11905.3	1364.4
H2a	10531.8	1628.5
H2a1	7713.4	1754.3
H2a1a	6043.8	1898.9
H2a1a1	851.7	3407.9
H2a1a2	851.7	1251.2
H2a1b	4162.3	3062.1
H2a1c	1784.9	2414.5
H2a1d	1165.1	4407.6
H2a1e	5167	2301.3
H2a1e1	3869.9	2238.4
H2a1e1a	2574.7	2150.4
H2a1e1a1	0	3810.3
H2a1f	1784.9	2420.7
H2a2	9126.3	1873.7
H2a2a	7037	2018.3
H2a2a1	3801.5	2093.8
H2a2a1a	2534	2024.6
H2a2a1b	1268.2	2295
H2a2a1d	1268.2	1792
H2a2a2	3245.9	2747.7
H2a2b	5406.4	2301.3
H2a2b1	4395.7	2087.5
H2a2b1a	3227.8	2062.3
H2a2b1a1	1816.4	1634.8
H2a2b2	1537.5	5382.2
H2a2b3	2647.1	2691.1
H2a2b4	2651.7	2590.5
H2a3	5203.8	3219.3
H2a3b	2583.8	2980.3
H2a4	7228	3678.3
H2a5	5337.3	3175.3
H2a5a	2457.1	1735.4
H2a5a1a	945.6	1232.4
H2a5b	1645.4	1609.6
H2a5b1	1645.4	2320.1
H2b	6446.8	3980.1
H2c	6187.3	2930
H2c1	2149.9	1886.3
H3	8919	1062.6
H3a	5835.7	1974.3
H3a1	4808.4	1905.2
H3a1a	1447.7	1892.6
H3g	6066.9	1628.5
H3g1	3309.6	1748
H3g1b	1852.4	1898.9
H3g2	1618.4	2339
H3g3	4244.6	2320.1
H3g4	5051.9	1804.6
H3i	2620	2068.6
H3i1	990.4	1320.4
H3j	3127.8	5338.2
H3k	4712	3099.8
H3k1	1057.5	1540.5
H3b	7961.4	1534.2
H3b1	5420.3	1823.4
H3b1a	3860.8	2081.2
H3b1b	4524	1729.1
H3b1b1	3132.3	1483.9
H3b2	1708.4	4577.4
H3b4	3064.2	2754
H3c	8134.7	1333
H3c1	6841.6	2012
H3c2	5960.5	2125.2
H3c2a	4221.8	2118.9
H3c2a1	3318.7	2074.9
H3c2b	3641.9	4659.1
H3c2c	1605	2898.6
H3e	1501.6	2024.6
H3h	5674	2012
H3h1	1569	2081.2
H3h2	1569	4470.5
H3h3	4189.8	2427
H3h3a	1340	1760.5
H3h4	815.9	1119.2
H3m	4249.2	2842
H3n	2841.9	2169.2
H3p	6377.3	2911.2
H3q	4075.5	2974.1
H3r	3646.5	2917.5
H3r1	1236.8	2269.8
H3s	3232.3	3458.2
H3t	3477.9	3169
H3u	7256	2144.1
H3u1	2046.2	1999.5
H3v	6641.8	2640.8
H3v1	905.3	2125.2
H3w	3232.3	2313.9
H3x	5983.6	2760.3
H3x1	842.7	1295.3
H3y	1263.7	1716.5
H3z	7321.2	2012
H3z1	4505.6	2760.3
H3aa	3477.9	4376.2
H3ab	1501.6	5438.8
H3ac	1870.4	2540.2
H3ad	1870.4	2609.4
H3ae	4757.9	3244.4
H3af	4634	3036.9
H3ah	5697.1	3477.1
H3ai	4757.9	4200.1
H3aj	1870.4	2540.2
H3ak	5480.2	2540.2
H3am	4757.9	4753.5
H3ao	5222.2	3753.7
H3ao1	4034.3	3407.9
H3ap	5701.7	3778.9
H3aq	1874.9	4872.9
H3as	1870.4	2540.2
H3at	4139.5	3389
H3at1	1335.5	1810.8
H3au	5706.3	3816.6
H3av	932.2	1307.8
H4	10617.3	1471.3
H4a	9277.2	1559.3
H4a1	8636.8	1559.3
H4a1a	7835	1647.4
H4a1a1	6600	2087.5
H4a1a1a	5891.1	1798.3
H4a1a1a1	2656.2	1880
H4a1a1a1a1	704.1	1301.5
H4a1a1a3	3359.6	2320.1
H4a1a1a4	1596	2112.6
H4a1a2	2991.6	1936.6
H4a1a2a1	2050.7	1779.4
H4a1a3	4597.3	2621.9
H4a1a3a	2371.2	2408.2
H4a1a4	5544.8	2263.6
H4a1a4a	2687.9	2603.1
H4a1a4b	3482.5	1634.8
H4a1a4b1	2769.4	1590.8
H4a1a4b2	1200.9	1565.6
H4a1c	4817.6	2772.8
H4a1c1	1447.7	1924
H4a1d	4528.6	3263.3
H4b	7503.2	4319.6
H4b1	2091.3	2848.3
H4c	2588.3	5696.6
H536	10294.4	3036.9
H5	9877.6	1401.7
H5a	9111.3	1387
H5a1	6567.1	1533.8
H5a1a	2977.7	3199.6
H5a1b	1675.4	2275
H5a1c	4971.3	1805.3
H5a1c1	1901.3	1724.6
H5a1d	1675.4	2429.1
H5a1e	2977.7	2737.3
H5a1f	2977.7	2634.6
H5a1g	5341.9	2311.7
H5a1g1	2169.6	1651.2
H5a1g1a	598	829.3
H5a1g2	1523.2	2135.5
H5a1j	1675.4	2311.7
H5a1k	5234.4	2084.2
H5a1m	1911.8	1908
H5a1n	1193.2	1629.2
H5a1p	968.4	1365
H5a2	4815.8	4058.2
H5a3	6827.4	2003.4
H5a3a	5848.1	2216.3
H5a3a1	1208.9	6531.4
H5a3a2	2988.3	2436.4
H5a3b	3046.6	2957.5
H5a4	7588.9	1915.4
H5a4a	5051.8	2084.2
H5a5	4703.3	4395.8
H5a6	3566.7	2810.7
H5a7	1518	2054.8
H5b	7894.5	2399.7
H5b1	1177.5	1724.6
H5b2	2586.3	2502.5
H5b3	6442.6	2575.8
H5c	6437.2	2891.4
H5c1	4451.8	3162.9
H5d	3630.5	4278.4
H5e	7676.2	3412.4
H5e1	4227.3	3860.1
H5e1a	2232.9	2208.9
H5f	1932.8	2641.9
H5g	5030.3	7279.9
H5h	2924.8	3559.2
H5j	2454.3	1827.3
H5k	1570.4	2333.7
H5m	5707.9	3324.4
H5n	6887.1	3207
H5p	1932.8	2700.6
H5q	1549.4	5592
H5r	2491.3	2238.3
H5r1	957.9	2583.2
H5r2	957.9	1298.9
H5s	1434.1	5753.5
H5t	2201.3	2810.7
H36	2787.5	2672.2
H6	10945.6	1873.7
H6a	9503.8	1974.3
H6a1	8669.7	1905.2
H6a1a	7139.5	1993.2
H6a1a1	5761.7	2854.6
H6a1a1a	824.8	1138.1
H6a1a2	6159.5	2093.8
H6a1a2a	3979.5	2571.6
H6a1a2b	3273.2	2301.3
H6a1a2b1	1093.4	1477.6
H6a1a3	2950.8	2666
H6a1a4	4134.9	4206.4
H6a1a5	1730.9	2320.1
H6a1a6	3118.7	5206.2
H6a1a7	2434.5	2942.6
H6a1a8	2023.7	1898.9
H6a1b	7577.9	1829.7
H6a1b2	4767.1	2188.1
H6a1b2a	1438.7	2024.6
H6a1b2d	1438.7	2760.3
H6a1b3	3769.6	1854.9
H6a1b3a	1542	1408.4
H6a1b4	3218.7	2974.1
H6a2	6330.9	3194.1
H6b	8036.3	2930
H6b1	5863.4	4854.1
H6c	3082.4	2948.9
H7	8890.8	1685.1
H7a	7381.9	4948.4
H7a1	6483.9	2307.6
H7a1a	5033.6	2207
H7a1b	1667.9	5734.3
H7a1c	2959.8	2917.5
H7a2	2484.2	2609.4
H7b	4066.3	1659.9
H7b1	2168	1836
H7b2	2168	2030.9
H7b5	1317.5	3810.3
H7c	7167.4	3062.1
H7c1	3127.8	4099.5
H7c2	1735.4	6570.6
H7c3	2439	5137
H7d	7601.3	1748
H7d1	3423.3	2672.2
H7d2	3819.7	2829.4
H7d2a	1272.7	1704
H7d3	5374.2	2559.1
H7d3a	3833.4	2433.3
H7d4	1820.9	1942.9
H7e	1497.1	2307.6
H7f	4748.7	3659.4
H7h	4748.7	3753.7
H8	8341	3187.8
H8a	4569.8	3351.3
H8b	4322.4	3885.8
H8c	6400.4	2276.1
H8c2	2538.5	2112.6
H31	3965.8	3439.3
H31a	2127.4	2904.9
H11	8425.5	2816.9
H11a	6122.4	1892.6
H11a1	2928.1	2087.5
H11a2	5406.4	1873.7
H11a2a	3961.2	1603.3
H11a2a1	1299.6	2030.9
H11a2a2	1304.1	1213.5
H11a3	0	9387.4
H11a5	2860.1	3068.4
H11b	2683.4	6344.2
H12	4560.6	3584
H9	6460.7	3125
H9a	2556.6	2269.8
H32	3437	3244.4
H46	3236.8	6847.2
H46a	0	8004.2
H52	1775.9	6778.1
H69	3236.8	4445.4
H10	8594.5	2263.6
H10a	6048.4	2364.2
H10a1	4831.4	2093.8
H10a1a	2267.3	2502.5
H10a1a1	891.9	1251.2
H10a1b	726.5	1175.8
H10b	4689.1	2666
H10b1	3023.4	2194.4
H10c	6548.9	2640.8
H10c1	5084.1	2577.9
H10d	4652.4	4678
H10e	4689.1	2263.6
H10e1	2769.4	3169
H10e1a	1030.7	1672.5
H10e2	2407.4	2647.1
H10e3	2362.2	2131.5
H10h	1236.8	1691.4
H13	12475.9	867.7
H13a	11785.7	1138.1
H13a1	10090.5	1848.6
H13a1a	8556.9	1748
H13a1a1	5886.5	1892.6
H13a1a1a	4496.5	2181.8
H13a1a1b	3605.5	3219.3
H13a1a1d	2064.2	1659.9
H13a1a1e	2796.6	2452.2
H13a1a2	7587.3	1980.6
H13a1a3	5540.2	3112.4
H13a2	10969.4	2219.5
H13a2a	6516.4	3703.4
H13a2b	9324.4	2496.2
H13a2b1	4098.3	3766.3
H13a2c	5743.3	2716.3
H13b	11527.5	1439.9
H13b1	8073.8	4187.6
H13b1a	0	10022.5
H13c	11408.1	1666.2
H14	11203	1672.5
H14a	9314.9	2188.1
H14a2	7111.5	3080.9
H14b	9319.7	2791.7
H14b1	1142.6	4652.9
H14b2	1798.4	2697.4
H15	8693.2	2710
H15a	7433.2	2603.1
H15a1	6136.3	2389.3
H15a1a	2864.6	2728.8
H15b	5507.9	3301
H16	5969.7	3992.7
H16a	2046.2	1886.3
H16a1	824.8	1144.4
H16b	2819.3	2628.2
H17	7507.9	2816.9
H17a	6099.3	2691.1
H17a1	4171.5	2798
H17b	5024.4	3093.5
